City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Victoria,HK,88.18,scattered clouds,22.2855,114.1577,Mini Central
20,Dar Es Salaam,TZ,77.38,few clouds,-6.8235,39.2695,"Holiday Inn Dar Es Salaam City Centre, an IHG Hotel"
23,Alugan,PH,79.07,overcast clouds,12.2188,125.4808,JM Lodge
27,Butaritari,KI,81.88,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
29,Hilo,US,85.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
30,Banda Aceh,ID,79.03,few clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
33,Bongouanou,CI,76.87,light rain,6.6486,-4.1992,Hotel du Lac
41,Bengkulu,ID,75.24,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
42,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
45,Kyaikto,MM,76.69,overcast clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
49,Lorengau,PG,81.01,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
53,Atuona,PF,77.25,scattered clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
55,Ribeira Grande,PT,75.6,light intensity shower rain,38.5167,-28.7,Quinta da Meia Eira
56,Ponta Do Sol,PT,81.01,scattered clouds,32.6667,-17.1,Hotel do Campo
62,Qui Nhon,VN,76.91,broken clouds,13.7667,109.2333,Seagull Hotel
66,Saint George,US,75.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
71,Nouadhibou,MR,78.78,sand,20.931,-17.0347,El Medina
74,Mmabatho,ZA,75.16,clear sky,-25.85,25.6333,Mahikeng Guest Apartments
88,Maragogi,BR,78.78,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
93,Qandala,SO,89.37,overcast clouds,11.472,49.8728,
95,Sorong,ID,75.58,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
99,Champerico,GT,84.74,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
100,Gizo,SB,81.97,light rain,-8.103,156.8419,Imagination Island
102,Sabla,NG,82.6,overcast clouds,12.7525,4.7077,
105,Parangan,PH,82.76,light rain,5.0839,119.9383,
106,Jamestown,US,78.03,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
107,Mattru,SL,76.37,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
110,Barcelos,PT,85.68,overcast clouds,41.5388,-8.6151,Hotel Do Terço
111,Godfrey,US,84.67,clear sky,38.9556,-90.1868,Super 8 by Wyndham Alton
113,Zig,US,75.49,broken clouds,40.127,-92.7663,
118,Meulaboh,ID,75.72,heavy intensity rain,4.1363,96.1285,Kost Pria
120,Kavaratti,IN,80.58,overcast clouds,10.5669,72.642,Green leaf
123,Marion,US,81.41,few clouds,39.7684,-86.1555,Hilton Garden Inn Indianapolis Downtown
127,Wanning,CN,79.14,broken clouds,18.8003,110.3967,Paradise Hotel
131,Kieta,PG,78.03,light rain,-6.2167,155.6333,Uruna Bay Retreat
136,Bonthe,SL,79.74,light rain,7.5264,-12.505,Bonthe Holiday Village
137,Agnibilekrou,CI,78.55,light rain,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
138,Gasa,PS,79.88,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
141,Davila,PH,79.95,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
146,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
147,Touros,BR,84.04,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
148,Katsuura,JP,77.02,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
150,Kant,IN,75.52,scattered clouds,27.8,79.8,Sumit Verma
156,Ridgecrest,US,77.02,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
159,Iquitos,PE,84.24,few clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
175,Bubaque,GW,80.17,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
181,Ashland,US,78.22,overcast clouds,40.8167,-82.2665,SureStay
190,Sao Jose Da Coroa Grande,BR,79.43,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
193,Springfield,US,82.36,clear sky,37.2153,-93.2982,Best Western Route 66 Rail Haven
195,Hamilton,US,83.73,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
196,Bulungu,CD,82.49,overcast clouds,-4.55,18.6,Maison MC Michel
197,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
198,Pontianak,ID,76.98,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
199,Portage,US,78.66,broken clouds,41.1667,-81.1998,Rocking Horse Inn
200,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
201,Tautira,PF,76.35,light rain,-17.7333,-149.15,Pension Oaoa
210,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
213,Russell,US,83.37,few clouds,32.3502,-85.1999,Macs
214,Taybad,IR,75.07,clear sky,34.74,60.7756,لی پوش jean center
216,Mitu,CO,87.87,overcast clouds,1.1983,-70.1733,
220,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
223,Kushima,JP,80.01,moderate rain,31.4583,131.2333,Hanaoka
229,Saint Anthony,US,75.97,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
230,Vila Franca Do Campo,PT,79.21,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
236,Raymondville,US,89.6,broken clouds,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
241,Mayo,US,82.13,clear sky,38.8876,-76.5119,Resorts Resource Group International
242,Ugoofaaru,MV,81.77,scattered clouds,5.6667,73.0,Ungoofaaru Inn
246,Wilmington,US,81.86,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
253,Basoda,IN,75.47,broken clouds,23.85,77.9333,Sahu Dharamshala
254,Kota Kinabalu,MY,78.78,moderate rain,5.9749,116.0724,Gaya Centre Hotel
255,Haimen,CN,78.69,broken clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
258,Aksu,CN,75.63,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
259,Kendari,ID,76.26,overcast clouds,-3.945,122.4989,Hotel Wixel
261,Sola,VU,80.87,few clouds,-13.8833,167.55,Leumerus Bungalows
263,Hithadhoo,MV,82.22,clear sky,-0.6,73.0833,Scoop Guest House
264,Dingle,PH,75.67,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
265,Henderson,US,85.37,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
267,Banfora,BF,81.16,overcast clouds,10.6333,-4.7667,Residences David Hebié
272,Ikom,NG,75.2,moderate rain,5.9667,8.7063,Ebenezer Beim excellence hotel
275,Fare,PF,78.67,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
280,Bandarbeyla,SO,77.2,broken clouds,9.4942,50.8122,JABIR HOTEL
281,Catamarca,AR,88.59,broken clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
284,Suhut,TR,76.98,clear sky,38.5311,30.5458,Suhut Ogretmenevi ve Aksam Sanat Okulu
285,Kirakira,SB,78.89,broken clouds,-10.4544,161.9205,SanBiz Lodge
286,Belmonte,BR,79.3,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
288,Itoman,JP,82.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
289,Hurricane,US,77.34,clear sky,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
290,Sao Filipe,CV,79.56,few clouds,14.8961,-24.4956,Hotel Xaguate
292,San Cristobal,VE,84.38,overcast clouds,7.7669,-72.225,Pirineos
294,Yenagoa,NG,78.13,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
295,Luanda,AO,75.2,clear sky,-8.8368,13.2343,EPIC SANA Luanda
309,Lat Yao,TH,77.27,heavy intensity rain,15.751,99.7893,โรงแรมสอระ
310,Katghora,IN,75.24,light rain,22.5,82.55,Mr.K.D. Mahant
322,Naze,JP,77.92,light rain,28.3667,129.4833,Shishime Hotel
324,Tukrah,LY,78.53,clear sky,32.5341,20.5791,Lagrota restaurant
328,Itarema,BR,86.23,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
329,Muros,ES,77.16,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
332,Umm Lajj,SA,86.38,clear sky,25.0213,37.2685,Moon light Furnished Units
335,Padang,ID,76.26,light rain,-0.9492,100.3543,Mercure Padang
344,Matara,LK,78.39,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
