City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,50.94,89,23,4.54,few clouds
1,Victoria,HK,22.2855,114.1577,88.18,81,50,5.99,scattered clouds
2,Koboko,UG,3.4136,30.9599,64.8,95,42,3.65,light rain
3,Deputatskiy,RU,69.3,139.9,26.4,89,76,4.12,broken clouds
4,Udachnyy,RU,66.4167,112.4,30.45,86,87,24.23,overcast clouds
5,Mataura,NZ,-46.1927,168.8643,36.12,98,88,3.58,overcast clouds
6,Smithers,CA,54.7804,-127.1743,41.32,100,75,3.44,broken clouds
7,Saint-Philippe,RE,-21.3585,55.7679,71.19,82,39,15.39,light rain
8,Thompson,CA,55.7435,-97.8558,57.36,62,40,6.91,scattered clouds
9,Arlit,NE,18.7369,7.3853,96.03,27,85,18.92,overcast clouds
10,New Norfolk,AU,-42.7826,147.0587,47.7,78,97,2.77,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,72.59,74,0,19.01,clear sky
12,Cap-Aux-Meules,CA,47.3821,-61.8597,57.25,62,20,27.63,few clouds
13,Hanzhong,CN,33.0728,107.0303,66.34,96,99,0.56,overcast clouds
14,Lagoa,PT,39.05,-27.9833,73.49,82,23,8.01,few clouds
15,Warwick,US,41.7001,-71.4162,70.92,51,20,5.75,few clouds
16,Chokurdakh,RU,70.6333,147.9167,30.79,78,57,7.02,broken clouds
17,Port Alfred,ZA,-33.5906,26.891,61.18,96,84,4.0,moderate rain
18,Yellowknife,CA,62.456,-114.3525,45.12,93,100,11.5,overcast clouds
19,Castro,BR,-24.7911,-50.0119,62.53,51,21,10.11,few clouds
20,Dar Es Salaam,TZ,-6.8235,39.2695,77.38,69,20,10.36,few clouds
21,Morondava,MG,-20.2833,44.2833,74.88,82,0,12.24,clear sky
22,Tres Arroyos,AR,-38.3739,-60.2798,73.13,42,100,17.25,overcast clouds
23,Alugan,PH,12.2188,125.4808,79.07,85,99,6.91,overcast clouds
24,Taoudenni,ML,22.6783,-3.9836,106.3,10,0,9.93,clear sky
25,Cape Town,ZA,-33.9258,18.4232,59.41,65,75,10.36,broken clouds
26,Norman Wells,CA,65.282,-126.8329,44.64,81,20,8.05,few clouds
27,Butaritari,KI,3.0707,172.7902,81.88,66,47,12.75,scattered clouds
28,Hobart,AU,-42.8794,147.3294,48.06,85,100,8.05,overcast clouds
29,Hilo,US,19.7297,-155.09,85.28,78,0,8.05,clear sky
30,Banda Aceh,ID,5.5577,95.3222,79.03,79,21,13.2,few clouds
31,Port Elizabeth,ZA,-33.918,25.5701,62.89,88,0,12.66,clear sky
32,Przeworsk,PL,50.0591,22.4941,56.64,57,97,6.33,overcast clouds
33,Bongouanou,CI,6.6486,-4.1992,76.87,92,82,2.93,light rain
34,Severo-Kurilsk,RU,50.6789,156.125,49.28,88,20,11.25,few clouds
35,Waipawa,NZ,-41.4122,175.5153,41.05,90,61,4.97,broken clouds
36,Ushuaia,AR,-54.8,-68.3,42.46,65,40,27.63,scattered clouds
37,Vila Velha,BR,-20.3297,-40.2925,66.15,86,100,10.0,overcast clouds
38,Leningradskiy,RU,69.3833,178.4167,33.93,99,100,17.81,snow
39,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,56,40,14.97,scattered clouds
40,Albany,US,42.6001,-73.9662,66.72,66,89,3.18,overcast clouds
41,Bengkulu,ID,-3.8004,102.2655,75.24,91,98,4.03,overcast clouds
42,Georgetown,MY,5.4112,100.3354,82.33,88,20,3.44,few clouds
43,Barra Do Garcas,BR,-15.89,-52.2567,95.58,34,0,11.5,clear sky
44,Laguna,US,38.421,-121.4238,69.96,70,0,8.05,clear sky
45,Kyaikto,MM,17.3,97.0167,76.69,94,100,5.44,overcast clouds
46,Chuy,UY,-33.6971,-53.4616,67.33,56,98,15.59,overcast clouds
47,Puerto Ayora,EC,-0.7393,-90.3518,71.56,87,84,3.0,broken clouds
48,Chapais,CA,49.7834,-74.8492,56.98,37,96,6.89,overcast clouds
49,Lorengau,PG,-2.0226,147.2712,81.01,77,69,5.23,broken clouds
50,Mahebourg,MU,-20.4081,57.7,71.89,78,40,16.11,scattered clouds
51,Lebu,CL,-37.6167,-73.65,45.66,74,100,14.61,overcast clouds
52,Ketchikan,US,55.3422,-131.6461,48.67,100,40,5.75,scattered clouds
53,Atuona,PF,-9.8,-139.0333,77.25,69,35,21.27,scattered clouds
54,Jutai,BR,-5.1833,-68.9,97.68,35,60,0.72,broken clouds
55,Ribeira Grande,PT,38.5167,-28.7,75.6,88,75,12.66,light intensity shower rain
56,Ponta Do Sol,PT,32.6667,-17.1,81.01,78,26,10.38,scattered clouds
57,Bluff,NZ,-46.6,168.3333,41.83,85,96,7.05,overcast clouds
58,Souillac,MU,-20.5167,57.5167,71.98,78,40,16.11,light rain
59,Kapaa,US,22.0752,-159.319,73.38,83,0,10.36,clear sky
60,Jacareacanga,BR,-6.2222,-57.7528,102.87,23,33,5.44,scattered clouds
