City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Te Anau,-45.4167,167.7167,35.37,94,40,1.01,NZ,2022-09-16 14:27:27
1,Rikitea,-23.1203,-134.9692,71.33,76,10,8.1,PF,2022-09-16 14:23:13
2,Busselton,-33.65,115.3333,54.14,79,25,4.54,AU,2022-09-16 14:27:27
3,Bluff,-46.6,168.3333,45.43,74,38,12.84,NZ,2022-09-16 14:27:28
4,Bolshaya Dzhalga,45.9695,42.6966,78.96,39,100,6.62,RU,2022-09-16 14:27:28
5,Nyimba,-14.5566,30.8149,91.13,18,1,7.16,ZM,2022-09-16 14:27:29
6,Bonavista,48.6499,-53.1147,54.75,85,98,18.14,CA,2022-09-16 14:27:29
7,Mar Del Plata,-38.0023,-57.5575,64.42,95,75,29.08,AR,2022-09-16 14:26:55
8,Kushiro,42.975,144.3747,59.97,91,100,2.71,JP,2022-09-16 14:26:35
9,Aksu,41.1231,80.2644,76.39,22,5,9.06,CN,2022-09-16 14:27:30
10,Margate,51.3813,1.3862,62.87,67,21,8.99,GB,2022-09-16 14:27:31
11,Faanui,-16.4833,-151.75,77.45,75,55,23.76,PF,2022-09-16 14:27:31
12,Kruisfontein,-34.0033,24.7314,67.89,66,10,17.31,ZA,2022-09-16 14:27:32
13,Bambous Virieux,-20.3428,57.7575,72.21,73,75,12.66,MU,2022-09-16 14:27:32
14,Makat,47.6469,53.3463,63.57,77,100,10.58,KZ,2022-09-16 14:27:33
15,Ahipara,-35.1667,173.1667,49.26,74,3,4.92,NZ,2022-09-16 14:27:33
16,Iqaluit,63.7506,-68.5145,46.13,65,40,3.44,CA,2022-09-16 14:25:48
17,Chokurdakh,70.6333,147.9167,32.76,80,94,2.89,RU,2022-09-16 14:27:34
18,Ambatofinandrahana,-20.55,46.8,64.69,53,19,17.67,MG,2022-09-16 14:27:34
19,Coquimbo,-29.9533,-71.3436,55.13,87,100,10.36,CL,2022-09-16 14:27:34
20,Pevek,69.7008,170.3133,34.9,80,100,6.55,RU,2022-09-16 14:27:35
21,East London,-33.0153,27.9116,68.94,73,0,14.97,ZA,2022-09-16 14:24:33
22,Butaritari,3.0707,172.7902,81.64,69,72,14.41,KI,2022-09-16 14:27:36
23,Kirkland Lake,48.1446,-80.0377,46.11,90,100,5.01,CA,2022-09-16 14:27:36
24,Baruun-Urt,46.6806,113.2792,63.46,59,96,10.22,MN,2022-09-16 14:27:37
25,Severo-Kurilsk,50.6789,156.125,48.81,79,8,15.32,RU,2022-09-16 14:27:37
26,Nikolskoye,59.7035,30.7861,55.78,66,100,7.96,RU,2022-09-16 14:27:38
27,Beringovskiy,63.05,179.3167,44.08,93,100,39.01,RU,2022-09-16 14:25:49
28,Cape Town,-33.9258,18.4232,71.11,61,20,8.01,ZA,2022-09-16 14:24:03
29,Beder,56.0602,10.2118,62.37,67,45,9.28,DK,2022-09-16 14:27:39
30,Ondangwa,-17.9167,15.95,92.48,8,0,13.6,NA,2022-09-16 14:27:39
31,Ushuaia,-54.8,-68.3,38.86,48,20,5.75,AR,2022-09-16 14:26:50
32,Hobart,-42.8794,147.3294,50.05,94,75,14.97,AU,2022-09-16 14:25:20
33,Minudasht,37.2289,55.3747,84.52,37,0,6.91,IR,2022-09-16 14:27:40
34,Sola,-13.8833,167.55,80.35,77,22,15.93,VU,2022-09-16 14:25:55
35,Krasnokamensk,50.0979,118.0369,48.31,84,100,8.99,RU,2022-09-16 14:27:41
36,Bay Roberts,47.5999,-53.2648,61.14,79,97,13.0,CA,2022-09-16 14:27:41
37,Port Alfred,-33.5906,26.891,66.18,83,61,5.99,ZA,2022-09-16 14:27:42
38,Aasiaat,68.7098,-52.8699,35.44,98,100,5.23,GL,2022-09-16 14:27:43
39,Bredasdorp,-34.5322,20.0403,68.29,48,49,19.73,ZA,2022-09-16 14:25:15
40,Souillac,-20.5167,57.5167,71.98,73,75,12.66,MU,2022-09-16 14:27:43
41,Xico,19.2667,-98.9333,62.38,84,100,2.42,MX,2022-09-16 14:27:44
42,Qaanaaq,77.484,-69.3632,32.88,89,99,5.59,GL,2022-09-16 14:27:44
43,Kavaratti,10.5669,72.642,80.85,79,56,10.11,IN,2022-09-16 14:27:45
44,Hue,16.4667,107.6,78.91,83,40,8.05,VN,2022-09-16 14:26:04
45,Sisimiut,66.9395,-53.6735,48.24,78,100,6.96,GL,2022-09-16 14:28:45
46,Codrington,-38.2667,141.9667,49.59,85,100,16.11,AU,2022-09-16 14:28:46
